ID,Date,Home Team,Home Score,Away Team,Away Score
1,2010-03-01,New York Mets,4,Atlanta Braves,2
2,2010-04-04,Boston Red Sox,9,New York Yankees,7
3,2010-04-05,Washington Nationals,1,Philadelphia Phillies,11
4,2010-04-05,Cincinnati Reds,6,St. Louis Cardinals,11
5,2010-04-05,New York Mets,7,,1
6,2010-04-05,Pittsburgh Pirates,11,Los Angeles Dodgers,5
7,2010-04-05,Texas Rangers,5,Toronto Blue Jays,4
8,2010-04-05,Chicago White Sox,6,Cleveland Guardians,0
9,2010-04-05,Milwaukee Brewers,3,Colorado Rockies,5
10,2010-04-05,Kansas City Royals,4,Detroit Tigers,8
11,2010-04-05,Atlanta Braves,16,Chicago Cubs,5
12,2010-04-05,Arizona Diamondbacks,6,San Diego Padres,3
13,2010-04-05,Houston Astros,2,San Francisco Giants,5
14,2010-04-05,Oakland Athletics,3,Seattle Mariners,5
15,2010-04-05,Los Angeles Angels,6,Minnesota Twins,3
16,2010-04-06,Tampa Bay Rays,4,Baltimore Orioles,3
17,2010-04-06,Boston Red Sox,4,New York Yankees,6
18,2010-04-06,Houston Astros,0,San Francisco Giants,3
19,2010-04-06,Milwaukee Brewers,7,Colorado Rockies,5
20,2010-04-06,Arizona Diamondbacks,3,San Diego Padres,6
21,2010-04-06,Oakland Athletics,2,Seattle Mariners,1
22,2010-04-06,Los Angeles Angels,3,Minnesota Twins,5
23,2010-04-07,Milwaukee Brewers,5,Colorado Rockies,4
24,2010-04-07,Houston Astros,4,San Francisco Giants,10
25,2010-04-07,Pittsburgh Pirates,4,Los Angeles Dodgers,3
26,2010-04-07,Washington Nationals,4,Philadelphia Phillies,8
27,2010-04-07,Cincinnati Reds,3,St. Louis Cardinals,6
28,2010-04-07,Tampa Bay Rays,4,Baltimore Orioles,3
29,2010-04-07,Atlanta Braves,3,Chicago Cubs,2
30,2010-04-07,New York Mets,6,,7
31,2010-04-07,Boston Red Sox,1,New York Yankees,3
32,2010-04-07,Texas Rangers,4,Toronto Blue Jays,7
33,2010-04-07,Kansas City Royals,3,Detroit Tigers,2
34,2010-04-07,Chicago White Sox,3,Cleveland Guardians,5
35,2010-04-07,Arizona Diamondbacks,5,San Diego Padres,3
36,2010-04-07,Oakland Athletics,6,Seattle Mariners,5
37,2010-04-07,Los Angeles Angels,2,Minnesota Twins,4
38,2010-04-08,Pittsburgh Pirates,2,Los Angeles Dodgers,10
39,2010-04-08,Cincinnati Reds,2,St. Louis Cardinals,1
40,2010-04-08,Texas Rangers,1,Toronto Blue Jays,3
41,2010-04-08,Kansas City Royals,3,Detroit Tigers,7
42,2010-04-08,Oakland Athletics,6,Seattle Mariners,2
43,2010-04-08,Washington Nationals,6,Philadelphia Phillies,5
44,2010-04-08,Tampa Bay Rays,4,Baltimore Orioles,5
45,2010-04-08,Atlanta Braves,0,Chicago Cubs,2
46,2010-04-08,New York Mets,1,,3
47,2010-04-08,Chicago White Sox,3,Cleveland Guardians,5
48,2010-04-08,Los Angeles Angels,1,Minnesota Twins,10
49,2010-04-09,Detroit Tigers,5,Cleveland Guardians,2
50,2010-04-09,Baltimore Orioles,6,Toronto Blue Jays,7
51,2010-04-09,Colorado Rockies,7,San Diego Padres,0
52,2010-04-09,San Francisco Giants,5,Atlanta Braves,4
53,2010-04-09,Cincinnati Reds,5,Chicago Cubs,4
54,2010-04-09,New York Mets,8,Washington Nationals,2
55,2010-04-09,Tampa Bay Rays,9,New York Yankees,3
56,2010-04-09,Texas Rangers,6,Seattle Mariners,2
57,2010-04-09,Houston Astros,0,Philadelphia Phillies,8
58,2010-04-09,Kansas City Royals,4,Boston Red Sox,3
59,2010-04-09,Chicago White Sox,3,Minnesota Twins,4
60,2010-04-09,Milwaukee Brewers,4,St. Louis Cardinals,5
61,2010-04-09,Arizona Diamondbacks,9,Pittsburgh Pirates,1
62,2010-04-09,Los Angeles Angels,4,Oakland Athletics,10
63,2010-04-10,Detroit Tigers,4,Cleveland Guardians,2
64,2010-04-10,Chicago White Sox,1,Minnesota Twins,2
65,2010-04-10,Cincinnati Reds,3,Chicago Cubs,4
66,2010-04-10,New York Mets,3,Washington Nationals,4
67,2010-04-10,Texas Rangers,3,Seattle Mariners,4
68,2010-04-10,Tampa Bay Rays,0,New York Yankees,10
69,2010-04-10,Milwaukee Brewers,1,St. Louis Cardinals,7
70,2010-04-10,Baltimore Orioles,0,Toronto Blue Jays,3
71,2010-04-10,Houston Astros,6,Philadelphia Phillies,9
72,2010-04-10,Kansas City Royals,3,Boston Red Sox,8
73,2010-04-10,Arizona Diamondbacks,3,Pittsburgh Pirates,6
74,2010-04-10,Colorado Rockies,4,San Diego Padres,5
75,2010-04-10,Los Angeles Angels,4,Oakland Athletics,3
76,2010-04-10,San Francisco Giants,2,Atlanta Braves,7
77,2010-04-11,Detroit Tigers,9,Cleveland Guardians,8
78,2010-04-11,Cincinnati Reds,3,Chicago Cubs,1
79,2010-04-11,New York Mets,2,Washington Nationals,5
80,2010-04-11,Baltimore Orioles,2,Toronto Blue Jays,5
81,2010-04-11,Tampa Bay Rays,3,New York Yankees,7
82,2010-04-11,Houston Astros,1,Philadelphia Phillies,2
83,2010-04-11,Chicago White Sox,5,Minnesota Twins,4
84,2010-04-11,Kansas City Royals,6,Boston Red Sox,8
85,2010-04-11,Texas Rangers,9,Seattle Mariners,2
86,2010-04-11,Colorado Rockies,4,San Diego Padres,2
87,2010-04-11,Los Angeles Angels,4,Oakland Athletics,9
88,2010-04-11,San Francisco Giants,6,Atlanta Braves,3
89,2010-04-11,Arizona Diamondbacks,15,Pittsburgh Pirates,6
90,2010-04-11,Milwaukee Brewers,8,St. Louis Cardinals,7
91,2010-04-12,Detroit Tigers,5,Kansas City Royals,10
92,2010-04-12,Chicago Cubs,9,Milwaukee Brewers,5
93,2010-04-12,Cleveland Guardians,2,Texas Rangers,4
94,2010-04-12,Philadelphia Phillies,7,Washington Nationals,4
95,2010-04-12,Minnesota Twins,5,Boston Red Sox,2
96,2010-04-12,St. Louis Cardinals,5,Houston Astros,0
97,2010-04-12,San Diego Padres,17,Atlanta Braves,2
98,2010-04-12,Seattle Mariners,0,Oakland Athletics,4
99,2010-04-12,Baltimore Orioles,1,Tampa Bay Rays,5
100,2010-04-12,Toronto Blue Jays,7,Chicago White Sox,8
101,2010-04-12,San Francisco Giants,9,Pittsburgh Pirates,3
102,2010-04-13,Detroit Tigers,6,Kansas City Royals,5
103,2010-04-13,New York Yankees,7,Los Angeles Angels,5
104,2010-04-13,Los Angeles Dodgers,9,Arizona Diamondbacks,5
105,2010-04-13,Baltimore Orioles,6,Tampa Bay Rays,8
106,2010-04-13,Toronto Blue Jays,4,Chicago White Sox,2
107,2010-04-13,Colorado Rockies,11,New York Mets,3
108,2010-04-13,Seattle Mariners,3,Oakland Athletics,0
109,2010-04-13,San Francisco Giants,5,Pittsburgh Pirates,6
110,2010-04-14,Detroit Tigers,3,Kansas City Royals,7
111,2010-04-14,New York Yankees,3,Los Angeles Angels,5
112,2010-04-14,Minnesota Twins,3,Boston Red Sox,6
113,2010-04-14,Baltimore Orioles,1,Tampa Bay Rays,9
114,2010-04-14,Chicago Cubs,7,Milwaukee Brewers,6
115,2010-04-14,San Francisco Giants,6,Pittsburgh Pirates,0
116,2010-04-14,Cleveland Guardians,2,Texas Rangers,6
117,2010-04-14,Philadelphia Phillies,14,Washington Nationals,7
118,2010-04-14,Toronto Blue Jays,1,Chicago White Sox,11
119,2010-04-14,St. Louis Cardinals,2,Houston Astros,1
120,2010-04-14,Colorado Rockies,6,New York Mets,5
121,2010-04-14,San Diego Padres,1,Atlanta Braves,6
122,2010-04-14,Los Angeles Dodgers,7,Arizona Diamondbacks,9
123,2010-04-14,Seattle Mariners,4,Oakland Athletics,2
124,2010-04-15,Cleveland Guardians,3,Texas Rangers,2
125,2010-04-15,Minnesota Twins,8,Boston Red Sox,0
126,2010-04-15,St. Louis Cardinals,1,Houston Astros,5
127,2010-04-15,Chicago Cubs,6,Milwaukee Brewers,8
128,2010-04-15,Philadelphia Phillies,5,Washington Nationals,7
129,2010-04-15,Colorado Rockies,0,New York Mets,5
130,2010-04-15,San Diego Padres,2,Atlanta Braves,6
131,2010-04-15,New York Yankees,6,Los Angeles Angels,2
132,2010-04-15,Toronto Blue Jays,7,Chicago White Sox,3
133,2010-04-15,Oakland Athletics,6,Baltimore Orioles,2
134,2010-04-15,Los Angeles Dodgers,6,Arizona Diamondbacks,5
135,2010-04-16,Chicago Cubs,7,Houston Astros,2
136,2010-04-16,Pittsburgh Pirates,4,Cincinnati Reds,3
137,2010-04-16,Cleveland Guardians,6,Chicago White Sox,2
138,2010-04-16,Philadelphia Phillies,8,,6
139,2010-04-16,New York Yankees,5,Texas Rangers,1
140,2010-04-16,Washington Nationals,5,Milwaukee Brewers,3
141,2010-04-16,Toronto Blue Jays,5,Los Angeles Angels,7
142,2010-04-16,Boston Red Sox,1,Tampa Bay Rays,3
143,2010-04-16,Atlanta Braves,9,Colorado Rockies,5
144,2010-04-16,Minnesota Twins,10,Kansas City Royals,3
145,2010-04-16,St. Louis Cardinals,4,New York Mets,3
146,2010-04-16,Oakland Athletics,4,Baltimore Orioles,2
147,2010-04-16,San Diego Padres,6,Arizona Diamondbacks,3
148,2010-04-16,Seattle Mariners,11,Detroit Tigers,3
149,2010-04-16,Los Angeles Dodgers,10,San Francisco Giants,8
150,2010-04-17,Chicago Cubs,3,Houston Astros,4
151,2010-04-17,New York Yankees,7,Texas Rangers,3
152,2010-04-17,Washington Nationals,8,Milwaukee Brewers,0
153,2010-04-17,Toronto Blue Jays,3,Los Angeles Angels,6
154,2010-04-17,Minnesota Twins,6,Kansas City Royals,5
155,2010-04-17,Oakland Athletics,4,Baltimore Orioles,3
156,2010-04-17,Los Angeles Dodgers,0,San Francisco Giants,9
157,2010-04-17,St. Louis Cardinals,1,New York Mets,2
158,2010-04-17,Cleveland Guardians,3,Chicago White Sox,2
159,2010-04-17,Pittsburgh Pirates,5,Cincinnati Reds,4
160,2010-04-17,Philadelphia Phillies,1,,5
161,2010-04-17,Boston Red Sox,5,Tampa Bay Rays,6
162,2010-04-17,Boston Red Sox,1,Tampa Bay Rays,3
163,2010-04-17,Atlanta Braves,0,Colorado Rockies,4
164,2010-04-17,San Diego Padres,5,Arizona Diamondbacks,0
165,2010-04-17,Seattle Mariners,4,Detroit Tigers,2
166,2010-04-18,Cleveland Guardians,7,Chicago White Sox,4
167,2010-04-18,New York Yankees,5,Texas Rangers,2
168,2010-04-18,Toronto Blue Jays,1,Los Angeles Angels,3
169,2010-04-18,Pittsburgh Pirates,5,Cincinnati Reds,3
170,2010-04-18,Boston Red Sox,1,Tampa Bay Rays,7
171,2010-04-18,Atlanta Braves,4,Colorado Rockies,3
172,2010-04-18,Philadelphia Phillies,0,,2
173,2010-04-18,Washington Nationals,7,Milwaukee Brewers,11
174,2010-04-18,Minnesota Twins,5,Kansas City Royals,10
175,2010-04-18,Chicago Cubs,2,Houston Astros,3
176,2010-04-18,Oakland Athletics,3,Baltimore Orioles,8
177,2010-04-18,San Diego Padres,5,Arizona Diamondbacks,3
178,2010-04-18,Seattle Mariners,2,Detroit Tigers,4
179,2010-04-18,Los Angeles Dodgers,2,San Francisco Giants,1
180,2010-04-18,St. Louis Cardinals,5,New York Mets,3
181,2010-04-19,Boston Red Sox,2,Tampa Bay Rays,8
182,2010-04-19,Washington Nationals,5,Colorado Rockies,2
183,2010-04-19,Toronto Blue Jays,8,Kansas City Royals,1
184,2010-04-19,New York Mets,6,Chicago Cubs,1
185,2010-04-19,Arizona Diamondbacks,2,St. Louis Cardinals,4
186,2010-04-19,Los Angeles Angels,2,Detroit Tigers,0
187,2010-04-19,San Diego Padres,3,San Francisco Giants,2
188,2010-04-19,Seattle Mariners,8,Baltimore Orioles,2
189,2010-04-20,Washington Nationals,4,Colorado Rockies,10
190,2010-04-20,Pittsburgh Pirates,1,Milwaukee Brewers,8
191,2010-04-20,Toronto Blue Jays,4,Kansas City Royals,3
192,2010-04-20,Cincinnati Reds,11,Los Angeles Dodgers,9
193,2010-04-20,New York Mets,4,Chicago Cubs,0
194,2010-04-20,Boston Red Sox,7,Texas Rangers,6
195,2010-04-20,Atlanta Braves,4,Philadelphia Phillies,3
196,2010-04-20,Houston Astros,7,,5
197,2010-04-20,Minnesota Twins,5,Cleveland Guardians,1
198,2010-04-20,Chicago White Sox,4,Tampa Bay Rays,1
199,2010-04-20,Arizona Diamondbacks,9,St. Louis Cardinals,7
200,2010-04-20,Los Angeles Angels,6,Detroit Tigers,5
201,2010-04-20,San Diego Padres,1,San Francisco Giants,0
202,2010-04-20,Oakland Athletics,3,New York Yankees,7
203,2010-04-20,Seattle Mariners,3,Baltimore Orioles,1
204,2010-04-21,Toronto Blue Jays,3,Kansas City Royals,4
205,2010-04-21,San Diego Padres,5,San Francisco Giants,2
206,2010-04-21,Washington Nationals,6,Colorado Rockies,4
207,2010-04-21,Pittsburgh Pirates,0,Milwaukee Brewers,8
208,2010-04-21,Cincinnati Reds,6,Los Angeles Dodgers,14
209,2010-04-21,New York Mets,3,Chicago Cubs,9
210,2010-04-21,Boston Red Sox,8,Texas Rangers,7
211,2010-04-21,Atlanta Braves,0,Philadelphia Phillies,2
212,2010-04-21,Houston Astros,5,,4
213,2010-04-21,Minnesota Twins,6,Cleveland Guardians,0
214,2010-04-21,Chicago White Sox,0,Tampa Bay Rays,12
215,2010-04-21,Arizona Diamondbacks,4,St. Louis Cardinals,9
216,2010-04-21,Los Angeles Angels,3,Detroit Tigers,4
217,2010-04-21,Oakland Athletics,1,New York Yankees,3
218,2010-04-21,Seattle Mariners,4,Baltimore Orioles,1
219,2010-04-22,Pittsburgh Pirates,0,Milwaukee Brewers,20
220,2010-04-22,Minnesota Twins,1,Cleveland Guardians,8
221,2010-04-22,Oakland Athletics,4,New York Yankees,2
222,2010-04-22,Washington Nationals,0,Colorado Rockies,2
223,2010-04-22,Cincinnati Reds,8,Los Angeles Dodgers,5
224,2010-04-22,New York Mets,5,Chicago Cubs,2
225,2010-04-22,Boston Red Sox,0,Texas Rangers,3
226,2010-04-22,Atlanta Braves,3,Philadelphia Phillies,8
227,2010-04-22,Houston Astros,1,,5
228,2010-04-22,Chicago White Sox,2,Tampa Bay Rays,10
229,2010-04-22,Los Angeles Angels,4,Detroit Tigers,5
230,2010-04-23,Washington Nationals,5,Los Angeles Dodgers,1
231,2010-04-23,Boston Red Sox,4,Baltimore Orioles,3
232,2010-04-23,Cincinnati Reds,4,San Diego Padres,10
233,2010-04-23,Tampa Bay Rays,5,Toronto Blue Jays,6
234,2010-04-23,New York Mets,5,Atlanta Braves,2
235,2010-04-23,Houston Astros,4,Pittsburgh Pirates,3
236,2010-04-23,Texas Rangers,5,Detroit Tigers,4
237,2010-04-23,Kansas City Royals,3,Minnesota Twins,8
238,2010-04-23,Chicago White Sox,7,Seattle Mariners,6
239,2010-04-23,Milwaukee Brewers,1,Chicago Cubs,8
240,2010-04-23,Arizona Diamondbacks,7,Philadelphia Phillies,4
241,2010-04-23,Oakland Athletics,10,Cleveland Guardians,0
242,2010-04-23,Los Angeles Angels,6,New York Yankees,4
243,2010-04-23,San Francisco Giants,4,St. Louis Cardinals,1
244,2010-04-24,Washington Nationals,3,Los Angeles Dodgers,4
245,2010-04-24,Cincinnati Reds,0,San Diego Padres,5
246,2010-04-24,New York Mets,3,Atlanta Braves,1
247,2010-04-24,Oakland Athletics,1,Cleveland Guardians,6
248,2010-04-24,Chicago White Sox,5,Seattle Mariners,4
249,2010-04-24,Los Angeles Angels,1,New York Yankees,7
250,2010-04-24,Colorado Rockies,1,,4
251,2010-04-24,Colorado Rockies,8,,1
252,2010-04-24,Tampa Bay Rays,9,Toronto Blue Jays,3
253,2010-04-24,Houston Astros,5,Pittsburgh Pirates,2
254,2010-04-24,Boston Red Sox,7,Baltimore Orioles,6
255,2010-04-24,Kansas City Royals,7,Minnesota Twins,9
256,2010-04-24,Milwaukee Brewers,1,Chicago Cubs,5
257,2010-04-24,Texas Rangers,4,Detroit Tigers,8
258,2010-04-24,Arizona Diamondbacks,2,Philadelphia Phillies,3
259,2010-04-24,San Francisco Giants,2,St. Louis Cardinals,0
260,2010-04-25,Cincinnati Reds,5,San Diego Padres,4
261,2010-04-25,Boston Red Sox,6,Baltimore Orioles,7
262,2010-04-25,Washington Nationals,1,Los Angeles Dodgers,0
263,2010-04-25,Tampa Bay Rays,6,Toronto Blue Jays,0
264,2010-04-25,Houston Astros,10,Pittsburgh Pirates,3
265,2010-04-25,Chicago White Sox,3,Seattle Mariners,2
266,2010-04-25,Kansas City Royals,4,Minnesota Twins,3
267,2010-04-25,Milwaukee Brewers,2,Chicago Cubs,12
268,2010-04-25,Texas Rangers,8,Detroit Tigers,4
269,2010-04-25,Los Angeles Angels,8,New York Yankees,4
270,2010-04-25,Oakland Athletics,11,Cleveland Guardians,0
271,2010-04-25,San Francisco Giants,0,St. Louis Cardinals,2
272,2010-04-25,Arizona Diamondbacks,8,Philadelphia Phillies,6
273,2010-04-25,Colorado Rockies,8,,4
274,2010-04-25,New York Mets,1,Atlanta Braves,0
275,2010-04-26,Toronto Blue Jays,12,Boston Red Sox,13
276,2010-04-26,Chicago Cubs,4,Washington Nationals,3
277,2010-04-26,Texas Rangers,6,Detroit Tigers,8
278,2010-04-26,Kansas City Royals,3,Seattle Mariners,1
279,2010-04-26,Milwaukee Brewers,17,Pittsburgh Pirates,3
280,2010-04-26,St. Louis Cardinals,4,Atlanta Braves,3
281,2010-04-26,Colorado Rockies,3,Arizona Diamondbacks,5
282,2010-04-26,Los Angeles Angels,5,Cleveland Guardians,2
283,2010-04-26,San Francisco Giants,5,Philadelphia Phillies,1
284,2010-04-27,New York Mets,4,Los Angeles Dodgers,0
285,2010-04-27,New York Mets,10,Los Angeles Dodgers,5
286,2010-04-27,Detroit Tigers,0,Minnesota Twins,2
287,2010-04-27,Baltimore Orioles,5,New York Yankees,4
288,2010-04-27,Toronto Blue Jays,1,Boston Red Sox,2
289,2010-04-27,Tampa Bay Rays,8,Oakland Athletics,6
290,2010-04-27,Houston Astros,2,Cincinnati Reds,6
291,2010-04-27,Chicago Cubs,1,Washington Nationals,3
292,2010-04-27,Texas Rangers,4,Chicago White Sox,2
293,2010-04-27,Kansas City Royals,2,Seattle Mariners,3
294,2010-04-27,Milwaukee Brewers,3,Pittsburgh Pirates,7
295,2010-04-27,St. Louis Cardinals,5,Atlanta Braves,4
296,2010-04-27,Colorado Rockies,12,Arizona Diamondbacks,1
297,2010-04-27,Los Angeles Angels,2,Cleveland Guardians,9
298,2010-04-27,San Francisco Giants,6,Philadelphia Phillies,2
299,2010-04-28,New York Mets,7,Los Angeles Dodgers,3
300,2010-04-28,Milwaukee Brewers,5,Pittsburgh Pirates,6
301,2010-04-28,Kansas City Royals,5,Seattle Mariners,6
302,2010-04-28,Chicago Cubs,2,Washington Nationals,3
303,2010-04-28,Colorado Rockies,11,Arizona Diamondbacks,12
304,2010-04-28,San Francisco Giants,6,Philadelphia Phillies,7
305,2010-04-28,Los Angeles Angels,4,Cleveland Guardians,3
306,2010-04-28,Detroit Tigers,11,Minnesota Twins,6
307,2010-04-28,Baltimore Orioles,3,New York Yankees,8
308,2010-04-28,Toronto Blue Jays,0,Boston Red Sox,2
309,2010-04-28,Tampa Bay Rays,10,Oakland Athletics,3
310,2010-04-28,Houston Astros,4,Cincinnati Reds,6
311,2010-04-28,Texas Rangers,6,Chicago White Sox,5
312,2010-04-28,St. Louis Cardinals,6,Atlanta Braves,0
313,2010-04-29,Detroit Tigers,3,Minnesota Twins,0
314,2010-04-29,St. Louis Cardinals,10,Atlanta Braves,4
315,2010-04-29,Texas Rangers,5,Chicago White Sox,7
316,2010-04-29,Chicago Cubs,5,Arizona Diamondbacks,13
317,2010-04-29,Baltimore Orioles,0,New York Yankees,4
318,2010-04-29,Toronto Blue Jays,6,Oakland Athletics,3
319,2010-04-29,Tampa Bay Rays,11,Kansas City Royals,1
320,2010-04-29,Houston Astros,2,Cincinnati Reds,4
321,2010-04-29,San Diego Padres,9,Milwaukee Brewers,0
322,2010-04-29,Los Angeles Dodgers,0,Pittsburgh Pirates,2
323,2010-04-30,Chicago Cubs,11,Arizona Diamondbacks,5
324,2010-04-30,Baltimore Orioles,5,Boston Red Sox,4
325,2010-04-30,Detroit Tigers,10,Los Angeles Angels,6
326,2010-04-30,Cleveland Guardians,3,Minnesota Twins,9
327,2010-04-30,Philadelphia Phillies,1,New York Mets,9
328,2010-04-30,New York Yankees,6,Chicago White Sox,4
329,2010-04-30,Toronto Blue Jays,10,Oakland Athletics,2
330,2010-04-30,Tampa Bay Rays,2,Kansas City Royals,3
331,2010-04-30,Atlanta Braves,4,Houston Astros,2
332,2010-04-30,St. Louis Cardinals,2,Cincinnati Reds,3
333,2010-04-30,San Diego Padres,3,Milwaukee Brewers,0
334,2010-04-30,Los Angeles Dodgers,6,Pittsburgh Pirates,2
335,2010-04-30,Seattle Mariners,0,Texas Rangers,2
336,2010-04-30,San Francisco Giants,5,Colorado Rockies,2
337,2010-05-01,Chicago Cubs,7,Arizona Diamondbacks,5
338,2010-05-01,Detroit Tigers,3,Los Angeles Angels,2
339,2010-05-01,New York Yankees,6,Chicago White Sox,7
340,2010-05-01,Toronto Blue Jays,3,Oakland Athletics,4
341,2010-05-01,St. Louis Cardinals,6,Cincinnati Reds,3
342,2010-05-01,Seattle Mariners,3,Texas Rangers,6
343,2010-05-01,Philadelphia Phillies,10,New York Mets,0
344,2010-05-01,Atlanta Braves,10,Houston Astros,1
345,2010-05-01,San Francisco Giants,6,Colorado Rockies,1
346,2010-05-01,Tampa Bay Rays,2,Kansas City Royals,4
347,2010-05-01,Baltimore Orioles,12,Boston Red Sox,9
348,2010-05-01,Cleveland Guardians,5,Minnesota Twins,4
349,2010-05-01,San Diego Padres,1,Milwaukee Brewers,2
350,2010-05-01,Los Angeles Dodgers,5,Pittsburgh Pirates,1
351,2010-05-02,Detroit Tigers,5,Los Angeles Angels,1
352,2010-05-02,Cleveland Guardians,3,Minnesota Twins,8
353,2010-05-02,New York Yankees,12,Chicago White Sox,3
354,2010-05-02,Toronto Blue Jays,9,Oakland Athletics,3
355,2010-05-02,Baltimore Orioles,3,Boston Red Sox,2
356,2010-05-02,Atlanta Braves,7,Houston Astros,1
357,2010-05-02,Tampa Bay Rays,1,Kansas City Royals,0
358,2010-05-02,St. Louis Cardinals,6,Cincinnati Reds,0
359,2010-05-02,Chicago Cubs,10,Arizona Diamondbacks,5
360,2010-05-02,San Francisco Giants,1,Colorado Rockies,4
361,2010-05-02,San Diego Padres,8,Milwaukee Brewers,0
362,2010-05-02,Los Angeles Dodgers,9,Pittsburgh Pirates,3
363,2010-05-02,Seattle Mariners,1,Texas Rangers,3
364,2010-05-02,Philadelphia Phillies,11,New York Mets,5
365,2010-05-03,Cleveland Guardians,1,Toronto Blue Jays,5
366,2010-05-03,Philadelphia Phillies,3,St. Louis Cardinals,6
367,2010-05-03,New York Yankees,4,Baltimore Orioles,1
368,2010-05-03,Boston Red Sox,17,Los Angeles Angels,8
369,2010-05-03,Cincinnati Reds,3,New York Mets,2
370,2010-05-03,Houston Astros,1,Arizona Diamondbacks,9
371,2010-05-03,Minnesota Twins,10,Detroit Tigers,4
372,2010-05-03,Chicago White Sox,5,Kansas City Royals,1
373,2010-05-03,San Diego Padres,2,Colorado Rockies,5
374,2010-05-03,Oakland Athletics,2,Texas Rangers,4
375,2010-05-04,Pittsburgh Pirates,3,Chicago Cubs,2
376,2010-05-04,Cleveland Guardians,5,Toronto Blue Jays,8
377,2010-05-04,Philadelphia Phillies,2,St. Louis Cardinals,1
378,2010-05-04,Washington Nationals,6,Atlanta Braves,3
379,2010-05-04,New York Yankees,4,Baltimore Orioles,1
380,2010-05-04,Boston Red Sox,5,Los Angeles Angels,1
381,2010-05-04,Cincinnati Reds,4,New York Mets,5
382,2010-05-04,Houston Astros,0,Arizona Diamondbacks,1
383,2010-05-04,Minnesota Twins,4,Detroit Tigers,3
384,2010-05-04,Chicago White Sox,2,Kansas City Royals,7
385,2010-05-04,San Diego Padres,3,Colorado Rockies,2
386,2010-05-04,Oakland Athletics,7,Texas Rangers,6
387,2010-05-04,Seattle Mariners,2,Tampa Bay Rays,5
388,2010-05-04,Los Angeles Dodgers,6,Milwaukee Brewers,11
389,2010-05-05,Cleveland Guardians,4,Toronto Blue Jays,5
390,2010-05-05,Cincinnati Reds,5,New York Mets,4
391,2010-05-05,New York Yankees,7,Baltimore Orioles,5
392,2010-05-05,Minnesota Twins,5,Detroit Tigers,4
393,2010-05-05,Oakland Athletics,4,Texas Rangers,1
394,2010-05-05,Pittsburgh Pirates,4,Chicago Cubs,2
395,2010-05-05,Philadelphia Phillies,4,St. Louis Cardinals,0
396,2010-05-05,Washington Nationals,6,Atlanta Braves,7
397,2010-05-05,Boston Red Sox,3,Los Angeles Angels,1
398,2010-05-05,Houston Astros,4,Arizona Diamondbacks,2
399,2010-05-05,Chicago White Sox,9,Kansas City Royals,2
400,2010-05-05,San Diego Padres,5,Colorado Rockies,6
401,2010-05-05,Seattle Mariners,3,Tampa Bay Rays,8
402,2010-05-05,Los Angeles Dodgers,3,Milwaukee Brewers,11
403,2010-05-06,Philadelphia Phillies,7,St. Louis Cardinals,2
404,2010-05-06,Pittsburgh Pirates,11,Chicago Cubs,1
405,2010-05-06,Washington Nationals,3,Atlanta Braves,2
406,2010-05-06,Boston Red Sox,11,Los Angeles Angels,6
407,2010-05-06,Houston Astros,3,Arizona Diamondbacks,6
408,2010-05-06,Texas Rangers,13,Kansas City Royals,12
409,2010-05-06,Minnesota Twins,0,Baltimore Orioles,2
410,2010-05-06,Chicago White Sox,0,Toronto Blue Jays,2
411,2010-05-06,Seattle Mariners,0,Tampa Bay Rays,8
412,2010-05-06,Los Angeles Dodgers,7,Milwaukee Brewers,3
413,2010-05-07,Pittsburgh Pirates,3,St. Louis Cardinals,4
414,2010-05-07,Philadelphia Phillies,7,Atlanta Braves,0
415,2010-05-07,Washington Nationals,2,,4
416,2010-05-07,Cincinnati Reds,7,Chicago Cubs,14
417,2010-05-07,New York Mets,6,San Francisco Giants,4
418,2010-05-07,Boston Red Sox,3,New York Yankees,10
419,2010-05-07,Houston Astros,0,San Diego Padres,7
420,2010-05-07,Texas Rangers,4,Kansas City Royals,1
421,2010-05-07,Chicago White Sox,4,Toronto Blue Jays,7
422,2010-05-07,Arizona Diamondbacks,2,Milwaukee Brewers,3
423,2010-05-07,Oakland Athletics,1,Tampa Bay Rays,4
424,2010-05-07,Los Angeles Dodgers,6,Colorado Rockies,5
425,2010-05-07,Seattle Mariners,0,Los Angeles Angels,8
426,2010-05-08,Cleveland Guardians,4,Detroit Tigers,6
427,2010-05-08,Washington Nationals,5,,4
428,2010-05-08,New York Mets,5,San Francisco Giants,4
429,2010-05-08,Minnesota Twins,3,Baltimore Orioles,7
430,2010-05-08,Minnesota Twins,6,Baltimore Orioles,1
431,2010-05-08,Philadelphia Phillies,1,Atlanta Braves,4
432,2010-05-08,Boston Red Sox,3,New York Yankees,14
433,2010-05-08,Oakland Athletics,4,Tampa Bay Rays,2
434,2010-05-08,Houston Astros,1,San Diego Padres,2
435,2010-05-08,Pittsburgh Pirates,2,St. Louis Cardinals,0
436,2010-05-08,Chicago White Sox,7,Toronto Blue Jays,3
437,2010-05-08,Cincinnati Reds,14,Chicago Cubs,2
438,2010-05-08,Texas Rangers,3,Kansas City Royals,2
439,2010-05-08,Arizona Diamondbacks,3,Milwaukee Brewers,17
440,2010-05-08,Seattle Mariners,3,Los Angeles Angels,4
441,2010-05-08,Los Angeles Dodgers,0,Colorado Rockies,8
